序號,抽籤日期,證券名稱,證券代號,發行市場,申購開始日,申購結束日,承銷股數,實際承銷股數,承銷價(元),實際承銷價(元),撥券日期(上市、上櫃日期),主辦券商,申購股數,總承銷金額(元),總合格件,中籤率(%),取消公開抽籤 
252,114/03/04,寶綠特-KY,6887,第一上市公司初上市,114/02/25,114/02/27,"1,579,000","1,579,000",65,65,114/03/10,台新,"1,000","102,635,000","72,499",2.17,
253,114/03/03,浩宇生醫,6872,初上櫃,114/02/24,114/02/26,"1,614,000","1,614,000",23.4,23.4,114/03/07,元富,"1,000","37,767,600","227,898",0.7,
254,114/03/03,中傑-KY,6965,第一上市公司初上市,114/02/24,114/02/26,"3,118,000","3,118,000",128,128,114/03/07,中國信託,"1,000","399,104,000","94,315",3.3,
255,114/03/03,群益期,6024,上市增資,114/02/24,114/02/26,"3,358,000","3,358,000",52.8,52.8,114/03/11,華南永昌,"1,000","177,302,400","79,063",4.24,
256,114/02/27,光焱科技,7728,初上櫃,114/02/21,114/02/25,"307,000","307,000",220,220,114/03/06,台新,"1,000","67,540,000","206,061",0.14,
257,114/02/20,印能科技,7734,初上櫃,114/02/14,114/02/18,"382,000","382,000","1,250","1,250",114/02/26,台新,"1,000","477,500,000","67,142",0.56,
258,114/02/20,威剛,3260,上櫃增資,114/02/14,114/02/18,"2,550,000","2,550,000",61,61,114/03/03,玉山,"1,000","155,550,000","297,508",0.85,
259,114/02/19,中探針,6217,上櫃增資,114/02/13,114/02/17,"1,785,000","1,785,000",30.9,30.9,114/02/27,國票,"1,000","55,156,500","103,377",1.72,
260,114/02/19,榮田,7709,初上櫃,114/02/13,114/02/17,"812,000","812,000",45,45,114/02/25,台新,"1,000","36,540,000","145,211",0.55,
261,114/02/19,健喬,4114,上櫃增資,114/02/13,114/02/17,"2,975,000","2,975,000",30.2,30.2,114/02/27,國泰,"1,000","89,845,000","63,040",4.71,
262,114/02/18,上曜,1316,上市增資,114/02/12,114/02/14,"5,525,000","5,525,000",12,12,114/02/26,元富,"1,000","66,300,000","118,079",4.67,
263,114/02/18,聯策,6658,上市增資,114/02/12,114/02/14,"298,000","298,000",60,60,114/02/26,元富,"1,000","17,880,000","108,740",0.27,
264,114/02/18,威力德生醫,7713,初上櫃,114/02/12,114/02/14,"752,000","752,000",55,55,114/02/24,台新,"1,000","41,360,000","168,621",0.44,
265,114/02/14,皇昌,2543,上市增資,114/02/10,114/02/12,"2,975,000","2,975,000",58.1,58.1,114/02/24,統一,"1,000","172,847,500","347,809",0.85,
266,114/02/11,寶徠,1805,上市增資,114/02/05,114/02/07,"2,700,000","2,700,000",14,14,114/02/19,福邦,"1,000","37,800,000","19,091",14.14,
267,114/02/10,嘉聯益,6153,上市增資,114/02/04,114/02/06,"3,570,000","3,570,000",14,14,114/02/18,宏遠,"1,000","49,980,000","13,984",25.52,
268,114/02/07,加捷生醫,4109,上櫃增資,114/02/03,114/02/05,"1,700,000","1,700,000",18,18,114/02/17,群益金鼎,"1,000","30,600,000","48,623",3.49,
269,114/01/13,新應材,4749,初上櫃,114/01/07,114/01/09,"1,851,000","1,851,000",480,480,114/01/17,兆豐,"1,000","888,480,000","133,159",1.39,
270,114/01/13,麗清,3346,上市增資,114/01/07,114/01/09,"510,000","510,000",32,32,114/01/21,永豐金,"1,000","16,320,000","18,739",2.72,
271,114/01/09,創泓科技,7714,初上櫃,114/01/03,114/01/07,"483,000","483,000",86.06,86.06,114/01/15,中國信託,"1,000","41,566,980","53,341",0.9,
